Feature,Mean |SHAP|
Age (Years),12.768992780225219
Mitotic Rate (/50 HPF),5.335665785801032
Tumor Size (cm),3.676428712837095
Gender (Male),2.8813834284312216
Systemic Treatment,1.348203607837913
Marital Status: Married,1.1640044111381478
Liver Metastasis,0.8833489584237223
Marital Status: Separated/Divorced/Widowed,0.8761174337489672
Race: White,0.7279030260036453
Race: Asian/Pacific Islander,0.6820995252709403
Marital Status: Single/Unmarried,0.4791172040574609
Race: Black,0.047226000693479125
